92,694	83,870	91,581	88,407	85,844	79,121	79,428	84,400	81,157	92,151	85,784	88,466
85,815	78,919	85,190	83,371	79,764	74,245	73,247	76,037	70,511	82,625	83,107	86,454

80,824	74,496	83,380	82,132	79,818	76,307	80,037	75,311	73,606	80,468	80,761	85,867
84,395	78,024	84,910	85,940	81,650	75,785	73,108	76,539	74,125	85,257	80,926	83,110
86,944	91,751	100,826	84,474	85,697	76,247	72,499	76,453	75,446	84,828	86,300	89,536
85,796	77,256	85,621	78,313	73,829	68,327	71,557	73,604	73,236	80,197	90,783	107,026
102,237	96,612	112,962	105,864	104,317	100,633	103,754	96,985	97,936	107,418	114,564	110,099

118,006	108,192	108,648	77,257	70,207	61,256	60,600	59,966	60,190	74,355	88,279	97,806
91,149	84,706	79,820	69,337	62,377	64,923	66,184	64,450	67,316	79,204	81,940	92,544
98,077	85,337	81,648	71,591	65,324	61,213	66,839	60,809	65,515	76,522	90,532	109,928
112,108	94,673	85,912	73,644	61,135	58,866	58,094	55,511	66,866	64,236	80,498	106,865
97,339	68,900	69,161	71,215	65,967	59,292	55,459	54,104	56,831	65,822	84,502	94,469

103,893	99,497	89,554	75,513	73,439	65,422	59,497	60,519	63,268	75,802	77,078	106,233
99,415	74,182	54,684	42,512	52,179	44,427	48,382	50,580	54,479	68,628	70,483	90,497
100,779	83,911	85,778	68,486	61,422	57,709	66,211	74,702	72,837	93,094	107,092	120,510
137,865	116,223	111,816	94,722	93,370	93,165	99,844	95,434	95,861	106,884	120,685	127,943
119,269	110,218	113,196	110,335	107,980	103,706	101,486	107,770	116,763	122,663	123,159	144,973

140,176	117,576	115,979	123,360	122,917	117,009	119,686	118,485	119,523	141,974	139,691	155,884
163,448	137,998	151,487	143,955	141,292	133,264	134,859	127,139	133,934	156,635	168,718	180,585
164,636	175,243	180,482	176,146	174,312	162,249	167,216	174,733	166,117	176,466	210,479	209,426
200,070	190,711	204,415	188,666	171,307	182,364	194,581	197,322	194,027	192,222	209,619	224,811
240,895	198,661	222,858	211,749	206,131	200,582	221,166	218,879	209,996	221,627	225,819	245,477

253,335	235,977	250,349	231,745	228,259	217,456	222,652	236,891	227,708	236,003	236,344	264,329
263,615	233,756	241,526	236,857	252,158	226,587	236,864	237,858	237,500	247,520	251,807	271,366
278,288	240,545	256,985	238,178	241,732	232,118	235,593	244,684	239,486	251,758	272,091	262,716
286,278	251,052	263,032	253,161	252,310	243,442	266,319	274,809	262,142	266,063	258,033	275,417
310,790	286,412	301,610	271,387	291,454	279,096	296,422	312,081	302,414	304,637	305,152	324,050

325,897	300,107	306,596	294,016	287,793	296,046	322,285	318,308	304,843	324,527	329,759	371,425
373,077	328,289	358,103	318,573	321,878	317,414	364,571	353,338	314,864	326,114	291,044	309,673
343,481	305,917	332,596	315,116	319,404	318,002	344,641	356,013	335,594	343,427	330,544	370,729
359,168	308,804	324,364	314,655	325,157	306,878	340,532	331,628	320,676	331,005	316,721	364,161
373,195	345,930	348,992	325,105	326,541	341,934	374,651	360,244	344,621	335,533	368,685	413,128

405,016	356,495	379,650	326,147	333,997	321,710	386,093	351,805	345,907	366,305	359,387	408,522
360,316	321,045	348,293	332,248	350,535	348,095	370,925	364,972	333,514	334,016	339,118	383,205
393,140	372,874	401,779	386,837	380,213	381,470	418,576	426,534	361,383	347,224	340,607	396,945
389,651	349,660	366,810	322,122	297,154	286,919	322,810	328,663	313,868	321,328	320,254	364,862
356,749	321,522	325,165	321,848	265,793	281,970	316,715	336,848	307,026	273,124	294,918	349,682

384,586	324,124	318,769	298,464	297,801	282,260	328,655	304,901	281,518	294,744	273,165	351,773
371,919	311,154	315,408	277,936	271,252	266,617	293,477	280,284	251,846	282,159	248,908	297,733
281,131	269,906	265,152	243,018	259,023	259,732	281,166	281,350	257,990	253,402	233,853	252,066
278,078	236,875	248,290	220,608	234,183	236,690	236,199	236,248	243,881	220,430	218,693	273,181
295,356	245,422	234,189	200,669	206,657	201,655	201,176	206,554	201,622	220,858	227,485	253,736

279,343	254,223	257,157	204,896	204,230							
